"把手","这个门的把手坏了好几天了","你把手抬高一点儿"
"火把","每个人手上都拿着火把，照得黑夜比白天还亮","这场火把他全部的希望都化为了灰烬"
"记得","你还记得这件事情发生的时间吗","记分的时候我并不是记得了多少分，而是记该扣多少分"
"家教","这个孩子的家教非常好","这家教孩子的方法真是特别"
"家人","我现在只想着我的家人","这两家人都非常热情"
"家小","他一人在外闯荡，丢下家小在故乡无人照料","我们家小，实在住不下五口人"
"将来","他将来一定能成为大科学家","市长将来我校视察"
"脚跟","要取得最后的成功首先是要站稳脚跟","我的脚跟我的手都被冻麻木了"
"叫卖","一大清早，沿街的叫卖声就把他从睡梦中吵醒了","他叫卖草鞋的人赶紧回家去看看发生了什么事"
"就近","我们只好就近找了一间旅店住下","有钱住的离市中心就近，没钱住的离市中心就远"
"就是","就是天王老子也得给我面子","这就是他取得成功的主要原因"
"开关","这台计算机开关坏了，应该马上修理","开关空调不应过于频繁，以免损坏"
"可以","你可以走了","破产公司可以实物抵偿债款"
"课时","这门课一学年共160个课时","上物理课时需要特别仔细观察各种实验现象"
"来信","她一天里就收到热情的观众上千封来信","市民纷纷来信反映情况"
"马快","临安府的马快已经全部出动去捉拿飞贼","这匹马快得跟飞一样"
"马上","他马上就来","他从马上摔下来了"
"买卖","他看准了这笔买卖非常有赚头","买卖盗版软件可能都会触犯法律"
"面的","因为赶时间他们只好打了一辆面的去医院","这种饺子好吃主要是面的质量好"
"难过","只知道难过和伤心都解决不了问题，你还是应该振作起来","小王是事到临头才知道这道门槛很难过的"
"能干","像他这么能干的人才正是我们特别需要的","你说你都能干哪些别人干不了的活儿"
"起来","她每天早晨一起来就去练功","一聊起来北京后的遭遇，小王就有一肚子的辛酸"
"人才","我们公司需要的这种人才目前非常难找","他这个人才不怕呢，他胆子大得很"
"人命","他害死了四条人命居然还能逍遥法外","这个人命大福大，将来能成大事"
"人生","我的人生之路有你陪伴，真是我的福气","哪个人生下来就会算算术呢"
"人手","刚开张的公司都缺人手","这个人手上长了三颗痔"
"人为","这种人为的因素在我们的研究中一定要避免","不少人为的是往上爬，也有不少人为的是眼前的利益"
"人选","这部电影的女主角还没有合适的人选","三个人选一个，你会选谁"
"三长两短","要是你有个什么三长两短，让我怎么办","他留下的暗号是五道横杠，三长两短，不知意味着什么"
"上好","我买了一些上好的茶叶送给老王","老打地铺也不是个办法，还是睡床上好"
"上天","上天不仅给了她美貌，还给了她智慧","这种新型交通工具真正做到了能上天，能入地，能下海"
"少年犯","这个管教所是专门教育少年犯的","这个少年犯下的罪行让所有知情的人都陷入了沉思"
"设计","这款服装的设计风格非常明快","他一直想设计害我，但一次都未能得逞"
"深浅","到现在他们也不知道江水的深浅，所以无法采取行动","无论深浅，我们今天必须想办法强渡这条江"
"神人","他小时侯遇见过神人，被传授了一身好武艺","这类神人合一的形象是人类学家们经常讨论的话题"
"十分","这个小姑娘十分机灵","所有裁判都给了她十分的最高成绩"
"往后","你往后的日子可怎么办哪","张三就是在往后看的时候被人打了一棍子"
"忘记","这样惨痛的教训我们怎么能忘记","我忘记她的联系电话了"
"下放","他下放的时候才18岁","桌子下放着几坛酒"
"行家","他可是我们这儿的行家，你应该特别尊重他","你做这一行家里的人不反对吗？"
"学会","过去十年中民间成立的几个研究新儒家的学会都先后解散了","我不知道什么时候能学会写专业的学术论文"
"学生会","这一届学生会的主席是位女同学","你相信现在的学生会欺骗老师吗？"
"研究所","我们从国外一家研究所带回来的资料非常宝贵","上述研究所可能产生的社会效益和经济效益都是非常可观的"
"眼前","一说到眼前的时局大家都唉声叹气起来","他眼前终于出现了一道亮光"
"要点","这篇论文的要点大家都看明白了么？","我在这篇文章中要点几个人的名来批评批评"
"要害","那颗子弹打中了他的要害，造成他终生残疾","我知道他要害我，我已经做好了防范"
"要领","这个动作的要领其实很简单","下午我要领工资，恐怕赶不回去"
"要求","你的所有要求领导都同意了","如果要求他，还不如去求我爸"
"也许","他也许知道这件事情","你也许了愿了，老天爷一定会让你梦想成真的"
"一道","我看见他们是一道来的","这一道题确实有难度，很多同学都没有做出来"
"一定","你一定要记住自己许下的诺言","只要这个方案一定下来，我们就可以马上开始行动了"
"一度","他一度是学校里最出色的学生","他的体温比正常体温高了一度"
"一连","我们这儿一连下了三个月雨","一连的官兵都感动得热泪盈眶"
"一起","他们两人确实是一起来的","他们干的确实是一起罕见的高科技犯罪案"
"一切","家中的一切都是那么熟悉，同时又是那么陌生","她这一切，却切出一段好姻缘来"
"有力","由于领导有力，这个项目很快就获得了圆满成功","物体运动加速度的变化是因为有力的作用"
"语言学","语言学是一门古老而又年轻的学问","什么语言学起来都不是件容易的事情"
"原子能","原子能是原子核发生裂变或聚变反应产生的能量","氢原子能在化学反应后变为氢离子"
"阵风","明天下午阵风八级，局部地区有雨。","消息像一阵风一样传遍了全村"
"正点","火车正点发车时间是12点10分","小王正点着钱，一个大汉窜上来一把就把钱全抢走了"
"正在","全家人正在商量如何处理这件棘手的事情","小明正在教室里打扫卫生，忽然听到外面的救命声"
"正中","院子正中是一个天井","他一箭正中靶心，一举夺得冠军奖杯"
"只有","他只有发工资的时候口袋里才有点钱","他只有一个女儿，宝贝极了"
"中正","张老师为人中正诚恳，还很乐于助人","他进门的时候，屋中正忙着摆酒席呢"
"最近","他最近发了一笔小财，很是得意。","离我们家最近的那家餐馆失火了。"
